corp_name,year,quarter,자산총계,부채총계,자본총계,매출액,영업이익,분기순이익,부채비율,자기자본비율,ROA,ROE,매출액성장률,영업이익성장률,순이익성장률
코오롱글로벌,2019,Q4,2205364574512.0,1750352151584.0,455012422928.0,943558672890.0,41240708076.0,1263293400.0,384.6822775344249,20.632072727870153,0.05728274656264214,0.27763932067408637,7.749552037366536,45.440980432471044,-89.34087264159322
코오롱글로벌,2020,Q1,2164225633229.0,1693959786141.0,470265847088.0,781711141451.0,31637137771.0,15937562058.0,360.2132276095339,21.729058184491084,0.7364094488716196,3.389053693073661,-17.152884721337113,-23.286628074625103,1161.5883260373244
코오롱글로벌,2020,Q2,2233603514401.0,1736425373894.0,497178140507.0,931255800143.0,48628192862.0,26141035474.0,349.25617850440307,22.259014964002308,1.170352540433319,5.257881098179928,19.130424368062293,53.70604387156273,64.02154469339479
코오롱글로벌,2020,Q3,2230790545264.0,1707585865674.0,523204679590.0,979166915449.0,48744332592.0,27701887812.0,326.37052616045395,23.453778782628024,1.2417968988980834,5.294655971675959,5.144785707497657,0.2388320913540687,5.970889483518849
코오롱글로벌,2020,Q4,2469880906724.0,1983579090613.0,486301816111.0,1236090466130.0,47340307772.0,10711697729.0,407.8905372955139,19.689281972547448,0.4336928837272474,2.202685117374725,26.23899425392522,-2.88038577069456,-61.33224637362127
코오롱글로벌,2021,Q1,2512994118798.0,2003239402290.0,509754716508.0,1102928653361.0,46780987946.0,31692199483.0,392.9810431206793,20.284755650435933,1.261133054229304,6.217146885879305,-10.772820955889106,-1.1814875152349913,195.86532671846274
코오롱글로벌,2021,Q2,2440000000000.0,1890000000000.0,555000000000.0,1240000000000.0,74500000000.0,48300000000.0,340.5405405405405,22.74590163934426,1.9795081967213115,8.702702702702702,12.427943205691205,59.25272909156274,52.403432983275856
코오롱글로벌,2021,Q3,2508172624861.0,1900603061188.0,607569563673.0,1170000000000.0,69000000000.0,46700000000.0,312.82065047796294,24.223594406970726,1.861913312389655,7.686362647542761,-5.645161290322576,-7.38255033557047,-3.31262939958592
코오롱글로벌,2021,Q4,2575745971605.0,1962370838378.0,613375133227.0,1233691406185.0,51239154452.0,10331388827.0,319.92996325981784,23.813494808449352,0.4011027850142497,1.684350777744445,5.443709930341889,-25.740355866666665,-77.87711171948608
코오롱글로벌,2022,Q1,2609648018185.0,1983889022047.0,625758996138.0,1130454996080.0,57687127922.0,39336959270.0,317.0372354678044,23.978674203474114,1.5073664722554692,6.286279464262777,-8.368090236134707,12.584074696315216,280.7519001433475
코오롱글로벌,2022,Q2,2673245005449.0,1999882138731.0,673362866718.0,1237791045313.0,65560230892.0,48728317344.0,296.999172003427,25.188969411537403,1.8228152393317782,7.236561407299447,9.494942267069618,13.647937163114431,23.874133253513175
코오롱글로벌,2022,Q3,2737295920619.0,2013850817466.0,723445103153.0,1198444836664.0,69977673273.0,47511693795.0,278.3695416126266,26.429188664022973,1.7357163848129329,6.56742212891195,-3.178744005136225,6.737990883950706,-2.496748534145321
코오롱글로벌,2022,Q4,2834147586184.0,2270737072633.0,563410513551.0,-964614003384.0,-26537716829.0,6553168142.0,403.034202951105,19.879363950470786,0.2312218380561975,1.163124930114888,-180.4888113222722,-137.92311974345003,-86.20725211297426
코오롱글로벌,2023,Q1,2298780056808.0,1723034715371.0,575745341437.0,586612936513.0,13447474638.0,20562890700.0,299.2702834677717,25.04569063629595,0.8945131849000318,3.57152532900695,-160.81323041704562,-150.67306552651436,213.78548900966075
코오롱글로벌,2023,Q2,2279438749816.0,1693916518801.0,585522231015.0,715494416948.0,12986577670.0,8737711311.0,289.30012031560335,25.687122808729313,0.383327312993399,1.4922936906858717,21.97044633913283,-3.427386780099162,-57.50737851755444
코오롱글로벌,2023,Q3,2419879276211.0,1833907109416.0,585972166795.0,623989478420.0,19194677236.0,3498082501.0,312.96829667638207,24.214933883499505,0.14455607498227058,0.5969707605965165,-12.789049971671584,47.80396901903718,-59.965689223490074
코오롱글로벌,2023,Q4,2571300487925.0,2017469542758.0,553830945167.0,737383428110.0,-32839849580.0,-32915829939.0,364.2753371517838,21.538942949990766,-1.2801238164724407,-5.943299164887706,18.172413736386094,-271.088313578976,-1040.967799632808
코오롱글로벌,2024,Q1,3127904590526.0,2595678934188.0,532225656338.0,702453698154.0,877636699.0,-16590156866.0,487.70270716516626,17.015405711224044,-0.5303920367727757,-3.1171283587020664,-4.736983314844623,-102.6724747836071,-49.59824225381808
코오롱글로벌,2024,Q2,3288823275356.0,2783934563798.0,504888711558.0,796327813360.0,-365088339.0,-25189239811.0,551.3956838542211,15.351652225927163,-0.7659043281452507,-4.989067735990833,13.363744180249126,-141.59902832413346,51.832439044762914
코오롱글로벌,2024,Q3,2992904708030.0,2539132551800.0,453772156230.0,709785744331.0,-21056018169.0,-54745863579.0,559.5611182703351,15.161597193940848,-1.8291883277177579,-12.064614989565685,-10.867643648392388,5667.376253833185,117.3382920237743
코오롱글로벌,2024,Q4,2719945901907.0,2123999589045.0,595946312862.0,703393491343.0,-36125317439.0,119041730093.0,356.40787487124584,21.91022668664741,4.376621241236372,19.97524399829047,-0.9005890917159753,71.56765894221147,-317.44424566655897
코오롱글로벌,2025,Q1,2903215618404.0,2342447079303.0,561000000000.0,644028331690.0,9592243167.0,-36873716216.0,417.54849898449197,19.32340114332953,-1.2700991267149073,-6.572854940463459,-8.43982214558926,-126.55268893677443,-130.97545389099506
코오롱글로벌,2025,Q2,2711751563624.0,2156434759742.0,555000000000.0,734427787980.0,19078560584.0,-20258291303.0,388.54680355711713,20.46647662879172,-0.7470555774632506,-3.6501425771171174,14.03656513880096,98.89571450435687,-45.06034817773627
