,RMSE,MAE
construction_bsi_actual,2.0347145465218546,1.5177364349365234
base_rate,0.0940589582213669,0.04894891381263733
housing_sale_price,0.3817859236409379,0.22023837268352509
m2_growth,0.4891021389482189,0.3654414117336273
credit_spread,0.07870283120585003,0.05123826488852501
